dataset_name,best_params,duration,mse_score,rmse_score,mae_score,mape_score,smape_score,train_loss_history,val_loss_history
./Data/Kaggle1/NI_hourly.csv,"{'lstm_units': 92, 'dropout_rate': 0.2220303118260344, 'optimizer': 'adam'}",145.670333,0.0014751364100458,0.0384075046058163,0.0256485297018594,0.0958289100965981,225.7064246952829,"0.006971258670091629,0.002785665448755026,0.0021029070485383272,0.0017768021207302809,0.0016489105764776468,0.0015752519248053432,0.0015149145619943738,0.001478702761232853,0.0014367729891091585,0.0014151600189507008,0.001375722698867321,0.0013532299781218171,0.001342363771982491,0.001309634419158101,0.0012844703160226345,0.001268373103812337,0.0012427300680428743,0.0012236712500452995,0.001201459439471364,0.001187231158837676,0.0011708677047863603,0.00115547317545861","0.0016917618922889233,0.0013905215309932828,0.0011408994905650616,0.0009310601162724197,0.0008953220094554126,0.0009817056125029922,0.0009360442054457963,0.0008657947182655334,0.0010125875705853105,0.0008347828406840563,0.0008247034274972975,0.0008377845515497029,0.0007686538738198578,0.0008563750889152288,0.0007641889387741685,0.0007926966645754874,0.0007283162558451295,0.0007997217471711338,0.0007837950834073126,0.0007372333784587681,0.0007672769716009498,0.0007421562913805246"
./Data/Kaggle1/DUQ_hourly.csv,"{'lstm_units': 32, 'dropout_rate': 0.11511694319305872, 'optimizer': 'adam'}",210.193313,0.0015798630300246,0.0397474908645139,0.0299762799145365,0.1494408476414443,322.34566880313434,"0.00716746412217617,0.0027855997905135155,0.002299908548593521,0.0020594787783920765,0.0019313431112095714,0.0018890764331445098,0.001841379445977509,0.0018127637449651957,0.0017909237649291754,0.0017690026434138417,0.0017441634554415941,0.0017333620926365256,0.0017139974515885115,0.0017013654578477144,0.001689089578576386,0.0016809888184070587,0.0016668301541358232,0.0016648353775963187","0.0028909537941217422,0.0023525722790509462,0.0021076456177979708,0.0018261442892253399,0.0018768921727314591,0.0019225155701860785,0.0016670264303684235,0.0015437793917953968,0.00158344313967973,0.0016203537816181779,0.0014942035777494311,0.0015568681992590427,0.0014716624282300472,0.0016112476587295532,0.0015842003049328923,0.001523528597317636,0.0015218944754451513,0.001485747518017888"
./Data/Kaggle1/DAYTON_hourly.csv,"{'lstm_units': 88, 'dropout_rate': 0.38355786197990366, 'optimizer': 'rmsprop'}",374.290159,0.0016065488197863,0.0400817766545638,0.0297387976715695,0.0924699716825193,213.86065896570344,"0.007024490274488926,0.0034092094283550978,0.0030405663419514894,0.0028647040016949177,0.0027388816233724356,0.0026350391563028097,0.00253287167288363,0.002445745747536421,0.002377711469307542,0.002328511793166399,0.0022925082594156265,0.002254064893350005,0.0022260015830397606,0.0022156734485179186,0.0021816950757056475,0.002173784887418151,0.0021668286062777042,0.002142704324796796,0.0021321007516235113,0.0021178689785301685,0.0020993277430534363,0.0020973256323486567,0.0020826312247663736,0.002074578544124961,0.002067150780931115,0.0020560775883495808,0.002044410677626729,0.0020339270122349262,0.0020264077465981245,0.002019960666075349,0.0020131838973611593,0.0020064704585820436,0.0019971108995378017,0.001985092181712389,0.001980776432901621","0.0032061776146292686,0.0026310659013688564,0.002565571339800954,0.00228964164853096,0.0022327627521008253,0.0020953421480953693,0.002007983857765794,0.0021359561942517757,0.0018572303233668208,0.002082433318719268,0.0018090736120939255,0.0018028778722509742,0.001802569953724742,0.0018806584412232041,0.0018707758281379938,0.0019460719777271152,0.001782764564268291,0.0018779238453134894,0.0016994532197713852,0.0017279410967603326,0.001796766184270382,0.0018902987940236926,0.0017529190517961979,0.0016549531137570739,0.0017346052918583155,0.001689763623289764,0.0016738317208364606,0.0015968297375366092,0.0017722327029332519,0.0015764974523335695,0.0017226773779839277,0.0016257275128737092,0.0016450764378532767,0.0018147279042750597,0.001632519531995058"
./Data/Kaggle1/PJME_hourly.csv,"{'lstm_units': 48, 'dropout_rate': 0.15572813079043982, 'optimizer': 'adam'}",388.060428,0.0013123831852418,0.0362268296327716,0.0260168252265565,0.0826952067396932,192.7079890471481,"0.005948783829808235,0.001914732507430017,0.0015638807089999318,0.0014511923072859645,0.0013884252402931452,0.0013519716449081898,0.0013165571726858616,0.0012841863790526986,0.0012615765444934368,0.0012399074621498585,0.0012167985551059246,0.0012052421225234866,0.0011882060207426548,0.001177588477730751,0.0011653612600639462,0.0011546809691935778,0.001147700473666191,0.0011354552116245031,0.0011266354704275727,0.001120967441238463,0.0011180895380675793","0.002292480319738388,0.0017002123640850186,0.0015129967359825969,0.001398542313836515,0.0013678816612809896,0.001460834639146924,0.0013512297300621867,0.0012928644428029656,0.001264907536096871,0.001257882104255259,0.00118056230712682,0.0011250674724578857,0.0012087152572348714,0.0011005757842212915,0.001159780309535563,0.0010425414657220244,0.001091252313926816,0.0010668180184438825,0.0010803081095218658,0.0010508685372769833,0.0010655183577910066"
./Data/Kaggle1/EKPC_hourly.csv,"{'lstm_units': 26, 'dropout_rate': 0.19002804588166888, 'optimizer': 'adam'}",129.195216,0.0038311428920271,0.0618962267995966,0.0420834992719158,0.1217870659400555,285.558567233253,"0.015740113332867622,0.005516796838492155,0.004412085749208927,0.003975589293986559,0.003562719328328967,0.003356979927048087,0.0031862114556133747,0.0030553608667105436,0.002950703725218773,0.0028644599951803684,0.0028114761225879192,0.002745386678725481,0.002697812160477042,0.00263684568926692,0.0026105435099452734,0.002587050199508667,0.00251108780503273,0.002500568050891161","0.005176113918423653,0.00424293102696538,0.003915248904377222,0.0035155792720615864,0.003238307312130928,0.003156181424856186,0.002930412534624338,0.0030995290726423264,0.0028796186670660973,0.003089273814111948,0.002904339926317334,0.0026835643220692873,0.002679606666788459,0.002869383664801717,0.003010557033121586,0.002684325445443392,0.0027299560606479645,0.00284497975371778"
./Data/Kaggle1/pjm_hourly_est.csv,"{'lstm_units': 77, 'dropout_rate': 0.15578233741281378, 'optimizer': 'adam'}",204.624567,0.0017924409889172,0.0423372293486147,0.0299332618639758,0.1274837834940696,273.8293505074804,"0.006813103798776865,0.002870416035875678,0.002373205265030265,0.0021787823643535376,0.0020776386372745037,0.001992840552702546,0.0019219779642298818,0.0018594319699332118,0.0018168274546042085,0.0017655023839324713,0.0017309230752289295,0.0016895182197913527,0.0016534599708393216,0.001623225281946361,0.001590592204593122,0.0015607101377099752,0.0015349244931712747,0.0015059474390000105,0.0014872595202177763,0.0014624301111325622,0.0014385399408638477,0.0014232185203582048","0.003295961068943143,0.002775831613689661,0.002470588544383645,0.002425458049401641,0.0022870940156280994,0.002214824315160513,0.002104544546455145,0.0020581649150699377,0.0022459060419350863,0.0023488150909543037,0.002125238534063101,0.0022595261689275503,0.002038917038589716,0.0020255984272807837,0.002034168690443039,0.0020422697998583317,0.001998262945562601,0.002048355294391513,0.0020185988396406174,0.0020080660469830036,0.0020712881814688444,0.0020515955984592438"
./Data/Kaggle1/PJMW_hourly.csv,"{'lstm_units': 79, 'dropout_rate': 0.3074676814219761, 'optimizer': 'adam'}",399.538603,0.0011508985892685,0.0339248963044633,0.023599443323355,0.0418649092545245,100.02588812219663,"0.007421999704092741,0.0017428504070267081,0.0013787574134767056,0.0012497667921707034,0.0011940851109102368,0.0011522105196490884,0.0011284173233434558,0.0011012253817170858,0.0010846644872799516,0.0010703542502596974,0.001054133870638907,0.0010421971092000604,0.0010328340576961637,0.001017698785290122,0.0010058243060484529,0.0009975181892514229,0.000994318281300366,0.0009855777025222778,0.0009789027972146869,0.000966114632319659,0.0009632448782213032,0.0009624668164178729,0.0009485639748163521,0.0009463427704758942","0.002093251096084714,0.0016445958754047751,0.0014375578612089157,0.001365756499581039,0.0012868905905634165,0.0012764049461111426,0.0011685213539749384,0.0011911488836631179,0.001160725369118154,0.0012254059547558427,0.0011637466959655285,0.0011617091950029135,0.0011355424067005515,0.0011333865113556385,0.0012242472730576992,0.0011456503998488188,0.0011449366575106978,0.0011084966827183962,0.0010565129341557622,0.0011353169102221727,0.0011469852179288864,0.0011304891668260098,0.0010746935149654746,0.0011303797364234924"
./Data/Kaggle1/COMED_hourly.csv,"{'lstm_units': 78, 'dropout_rate': 0.22331303241680672, 'optimizer': 'adam'}",132.181456,0.0013718064866417,0.0370379060779861,0.0256296963999702,0.1276535989713576,289.21697175246175,"0.006768996827304363,0.0029123981948941946,0.002257239306345582,0.0019306340254843235,0.0018080234294757247,0.001727109425701201,0.001656395266763866,0.0016126884147524834,0.0015709636500105262,0.0015370713081210852,0.0015000073472037911,0.001474142074584961,0.00144488166552037,0.0014216111740097404,0.0013971682637929916,0.00137328973505646,0.0013553074095398188,0.0013256896054372191,0.0013192157493904233","0.0026895266491919756,0.0022695253137499094,0.001730974530801177,0.0015744272386655211,0.0015926503110677004,0.0014826005790382624,0.0014082242269068956,0.0014053693739697337,0.0014041353715583682,0.0015526219503954053,0.0013841144973412156,0.0013828000519424677,0.0013398228911682963,0.001331379055045545,0.0014878067886456847,0.0015284157125279307,0.0013791238889098167,0.0014221753226593137,0.0014641109155490994"
./Data/Kaggle1/AEP_hourly.csv,"{'lstm_units': 46, 'dropout_rate': 0.12069198826594835, 'optimizer': 'adam'}",298.664104,0.0018306600105492,0.0427862128558872,0.0303966813430921,0.1279142623121218,278.46202997212094,"0.007841371931135654,0.003023310098797083,0.0025257542729377747,0.0023071295581758022,0.002206073608249426,0.0021296702325344086,0.002078210934996605,0.002017434686422348,0.001983615104109049,0.0019497975008562207,0.0019199346425011754,0.001896171597763896,0.0018733023898676038,0.0018429436022415757,0.0018333953339606524,0.0018101237947121263,0.0017953497590497136,0.0017793540610000491,0.0017659239238128066,0.0017513071652501822,0.0017245981143787503,0.0017166492762044072","0.0035245250910520554,0.002773668384179473,0.0025074465665966272,0.0023766865488141775,0.002383086597546935,0.0022650628816336393,0.0022923415526747704,0.002198120579123497,0.0022871799301356077,0.002092081820592284,0.0021066998597234488,0.0020728777162730694,0.002145525300875306,0.002089014044031501,0.002035201294347644,0.0021412463393062353,0.0019894992001354694,0.002026216359809041,0.0020196991972625256,0.002051332499831915,0.0020111091434955597,0.002081007929518819"
./Data/Kaggle1/FE_hourly.csv,"{'lstm_units': 78, 'dropout_rate': 0.30355886542997296, 'optimizer': 'adam'}",137.005186,0.0006578897915327,0.0256493624001208,0.0185331093546574,0.0333695957740695,79.8242025319855,"0.011939707212150097,0.0030608330853283405,0.0019242751877754927,0.0014464574633166194,0.0012463538441807032,0.0011280003236606717,0.0010467100655660033,0.000997772440314293,0.000964436330832541,0.0009390318300575018,0.0009339901735074818,0.0009086664649657905,0.0008921590633690357,0.0008834325126372278,0.0008621155866421759,0.0008501140400767326,0.0008457371732220054,0.0008296363521367311,0.0008193225366994739,0.000811551755759865,0.0008061177213676274,0.0007929067360237241,0.0007868504035286605,0.0007778885774314404,0.0007716368418186903","0.0019262192072346807,0.001389586366713047,0.0010257328394800425,0.0009184535592794418,0.0008237029542215168,0.0007943090749904513,0.0007261111168190837,0.0007624727440997958,0.0006764740101061761,0.0006796756060793996,0.0006558767636306584,0.0006201430805958807,0.0006624748348258436,0.0006400591228157282,0.0006391311762854457,0.0005934184300713241,0.0006364402361214161,0.0006557198939844966,0.0005768975825048983,0.0005733388825319707,0.0005836116033606231,0.0005829432629980147,0.0005747879040427506,0.0006216461770236492,0.0005836672498844564"
